Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Taxonomic lineage	Genome assembly ID	Taxon mnemonic	Components	Kingdom	Phylum	Class	Order	Family	Genus	Species
UP000201665	Pepper golden mosaic virus	223301	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus capsicummusivi	GCA_000842765.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus capsicummusivi
UP000201687	Brevicoryne brassicae virus - UK	436447	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Iflaviridae, Iflavirus, Iflavirus brebrassicae, Brevicoryne brassicae virus	GCA_000873865.1	9VIRU	Genome	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Iflavirus brebrassicae
UP000201699	Macroptilium yellow mosaic virus	169865	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus macroptilii	GCA_000848005.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus macroptilii
UP000201703	Malvastrum yellow mosaic virus	377462	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus malvastrummusivi	GCA_000867765.1	9GEMI	Segment DNA A	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus malvastrummusivi
UP000201706	Ageratum yellow vein alphasatellite	187850	1		Unknown	Viruses, Viruses incertae sedis, Alphasatellitidae, Geminialphasatellitinae, Colecusatellite, Colecusatellite ageravenae	GCA_000842005.1	9VIRU	Genome	Viruses				Alphasatellitidae	Colecusatellite	Colecusatellite ageravenae
UP000201723	Ageratum yellow vein China virus - [Hn2]	222078	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus ageravenae, Ageratum yellow vein virus	GCA_000845825.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus ageravenae
UP000201734	Tomato leaf curl Bangalore virus	220608	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumbangalorense	GCA_000839265.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumbangalorense
UP000201740	Digitaria streak virus	10837	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus digitariae	GCA_000838685.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus digitariae
UP000201744	Sida yellow mottle virus	1093958	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus sidaflavavariati	GCA_000896395.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus sidaflavavariati
UP000201808	Bellflower vein chlorosis virus	1720595	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Secoviridae, Waikavirus, Waikavirus campanulae	GCA_001308735.1	9SECO	Genome	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Waikavirus	Waikavirus campanulae
UP000201812	Sugarcane streak Reunion virus	78395	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus saccharumbourbonense	GCA_000843205.1	9GEMI	Segment	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus saccharumbourbonense
UP000201830	Wheat dwarf India virus	1174526	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus tritici	GCA_000894555.1	9GEMI	Segment	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus tritici
UP000201834	Deinbollia mosaic virus	1812308	8		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus deinbolliae	GCA_001619035.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus deinbolliae
UP000201853	Cotton leaf curl Bangalore virus	307110	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus gossypibangalorense	GCA_000865045.1	9GEMI	Segment DNA A	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus gossypibangalorense
UP000201863	Black grass varicosavirus-like virus	1587515	2		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Betarhabdovirinae, Varicosavirus, Varicosavirus alopecuri	GCA_000970565.1	9RHAB	Genome	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Varicosavirus	Varicosavirus alopecuri
UP000201864	Paspalum dilatatum striate mosaic virus	1196236	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus dilatati	GCA_000898615.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus dilatati
UP000201878	Sida mosaic Bolivia virus 1	932069	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus sidaboliviaenseprimi	GCA_000893095.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus sidaboliviaenseprimi
UP000201905	Tobacco leaf curl Yunnan virus - [Y136]	269282	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus nicotianayunnanense, Tobacco leaf curl Yunnan virus	GCA_000860165.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus nicotianayunnanense
UP000201909	Pea leaf distortion virus	1931111	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus pisi	GCA_001974515.1	9GEMI	Segment DNA A	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus pisi
UP000201910	Leopards Hill virus	1381104	3		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Nairoviridae, Orthonairovirus, Orthonairovirus lusakaense	GCA_000927995.1	9VIRU	Genome	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Orthonairovirus lusakaense
UP000201931	Bruges virus	1679445	3		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Hantaviridae, Mammantavirinae, Orthohantavirus, Orthohantavirus brugesense	GCA_002117675.1	9VIRU	Genome	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Orthohantavirus brugesense
UP000201936	Switchgrass mosaic-associated virus 1	1571533	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus virgati, Switchgrass mosaic-associated virus	GCA_000928935.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus virgati
UP000201951	Rhynchosia mild mosaic virus	714308	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus rhynchosiae	GCA_000891055.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus rhynchosiae
UP000201952	Sida yellow vein Vietnam virus	390441	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus sidaflavavietnamense	GCA_000871685.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus sidaflavavietnamense
UP000201967	Tomato leaf curl Laos virus	223345	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumlaosense	GCA_000842065.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumlaosense
UP000201985	Sporobolus striate mosaic virus 2	1302850	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus sporobosecundi	GCA_000899215.1	9GEMI	Segment	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus sporobosecundi
UP000202003	Melon necrotic spot virus (MNSV)	11987	5		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Tolucaviricetes, Tolivirales, Tombusviridae, Procedovirinae, Gammacarmovirus, Gammacarmovirus melonis	GCA_000865645.1	MNSV	Genome	Orthornavirae	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	Gammacarmovirus	Gammacarmovirus melonis
UP000202010	Cassava brown streak virus	137758	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Ipomovirus, Ipomovirus brunusmanihotis	GCA_000884835.1	9POTY	Genome	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Ipomovirus	Ipomovirus brunusmanihotis
UP000202011	Dicliptera yellow mottle virus	94700	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus diclipterae	GCA_000840105.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus diclipterae
UP000202026	Urochloa streak virus	520848	3		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus urochloae	GCA_000874425.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus urochloae
UP000202029	Merremia mosaic virus	77813	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus merremiae	GCA_000867165.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus merremiae
UP000202033	Begomovirus catharticae	1317107	8		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus	GCA_000919815.2	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	
UP000202068	Macroptilium mosaic Puerto Rico virus	223282	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus macroptilipuertoricoense	GCA_000846245.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus macroptilipuertoricoense
UP000202071	Sacbrood virus	89463	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Iflaviridae, Iflavirus, Iflavirus sacbroodi	GCA_000847625.1	9VIRU	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Iflavirus sacbroodi
UP000202073	Rat bufavirus SY-2015	1763507	3		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Quintoviricetes, Piccovirales, Parvoviridae, Parvovirinae, Protoparvovirus, Protoparvovirus rodent3	GCA_001465505.1	9VIRU	Genome	Shotokuvirae	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protoparvovirus	Protoparvovirus rodent3
UP000202119	Ugandan cassava brown streak virus	946046	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Patatavirales, Potyviridae, Ipomovirus, Ipomovirus manihotis	GCA_000888855.1	9POTY	Genome	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	Potyviridae	Ipomovirus	Ipomovirus manihotis
UP000202148	Chino del tomate virus-[IC]	222455	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumflavi, Chino del tomate virus	GCA_000838385.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumflavi
UP000202154	Stachytarpheta leaf curl virus - [Hn5]	223329	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus stachytarphetae, Stachytarpheta leaf curl virus	GCA_000843765.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus stachytarphetae
UP000202173	Chilli leaf curl Ahmedabad virus-India [India/Ahmedabad/2014]	1678003	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, unclassified Begomovirus	GCA_001316395.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	
UP000202188	Sunflower leaf curl Karnataka alphasatellite	1250303	1		Unknown	Viruses, Viruses incertae sedis, Alphasatellitidae, Geminialphasatellitinae, Colecusatellite, Colecusatellite helianthuskarnatakaense	GCA_000901935.1	9VIRU	Genome	Viruses				Alphasatellitidae	Colecusatellite	Colecusatellite helianthuskarnatakaense
UP000202192	Ageratum yellow vein China alphasatellite	1454227	1		Unknown	Viruses, Viruses incertae sedis, Alphasatellitidae, Geminialphasatellitinae, Colecusatellite, Colecusatellite ageravenachinaense	GCA_000915415.1	9VIRU	Genome	Viruses				Alphasatellitidae	Colecusatellite	Colecusatellite ageravenachinaense
UP000202222	Sri Lankan cassava mosaic virus-[Colombo]	223328	8		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus stanleyi, Sri Lankan cassava mosaic virus	GCA_000858725.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus stanleyi
UP000202227	Paspalum striate mosaic virus	1072672	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus paspali	GCA_000899195.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus paspali
UP000202251	cosavirus E1	2849712	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Cosavirus, Cosavirus E	GCA_000886455.1	9PICO	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cosavirus	Cosavirus E
UP000202256	Tomato leaf curl Guangxi virus	377609	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumguangxiense	GCA_000868445.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumguangxiense
UP000202261	Tomato leaf curl Liwa virus	1303385	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumliwaense	GCA_000915295.1	9GEMI	Segment DNA A	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumliwaense
UP000202272	Tofla virus	1615758	3		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Nairoviridae, Orthonairovirus, Orthonairovirus japonicum	GCA_001550785.1	9VIRU	Genome	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Orthonairovirus japonicum
UP000202293	Tomato yellow mottle virus	86502	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumflavusvariati	GCA_000904935.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumflavusvariati
UP000202295	Malvastrum yellow vein virus-[Y47]	222476	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus malvatrumvenae, Malvastrum yellow vein virus	GCA_000842105.1	9GEMI	Segment DNA A	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus malvatrumvenae
UP000202332	Kennedya yellow mosaic virus (strain Jervis bay) (KYMV)	36392	3		Unknown	Viruses, Riboviria, Orthornavirae, Kitrinoviricota, Alsuviricetes, Tymovirales, Tymoviridae, Tymovirus, Tymovirus kennedyae, Kennedya yellow mosaic virus	GCA_000849065.1	KYMVJ	Segment	Orthornavirae	Kitrinoviricota	Alsuviricetes	Tymovirales	Tymoviridae	Tymovirus	Tymovirus kennedyae
UP000202339	Sida yellow vein Vietnam alphasatellite	447597	1		Unknown	Viruses, Viruses incertae sedis, Alphasatellitidae, Geminialphasatellitinae, Colecusatellite, Colecusatellite sidavietnamense	GCA_000870865.1	9VIRU	Segment	Viruses				Alphasatellitidae	Colecusatellite	Colecusatellite sidavietnamense
UP000202377	Axonopus compressus streak virus	1476487	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus axonopi	GCA_000920415.1	9GEMI	Segment	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus axonopi
UP000202382	Eidolon helvum papillomavirus 2	1335476	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cossaviricota, Papovaviricetes, Zurhausenvirales, Papillomaviridae, Firstpapillomavirinae, Psipapillomavirus, Psipapillomavirus 2	GCA_002004435.1	9PAPI	Segment	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Psipapillomavirus	Psipapillomavirus 2
UP000202386	kunsagivirus C1	2870349	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Paavivirinae, Kunsagivirus, Kunsagivirus C	GCA_002029575.1	9PICO	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kunsagivirus	Kunsagivirus C
UP000202400	Begomovirus allamandae	452758	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus	GCA_000874545.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	
UP000202403	Bhanja virus (BHAV)	1213620	4		Unknown	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Polyploviricotina, Ellioviricetes, Bunyavirales, Phenuiviridae, Bandavirus, Bandavirus bhanjanagarense	GCA_001019855.1	BHAV	Genome	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Bandavirus	Bandavirus bhanjanagarense
UP000202411	Bean yellow mosaic Mexico virus	714310	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus phaseolimexicoense	GCA_000893575.1	9GEMI	Segment DNA A	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus phaseolimexicoense
UP000202417	Tomato leaf curl Hanoi virus	971271	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumhanoiense	GCA_000892255.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumhanoiense
UP000202422	Chickpea chlorosis Australia virus	1302848	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus arietini	GCA_000911975.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus arietini
UP000202431	Bean dwarf mosaic virus	10838	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus moralesi	GCA_000838545.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus moralesi
UP000202436	Vinca leaf curl virus	1170656	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus vincae	GCA_001430335.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus vincae
UP000202447	Chickpea yellow dwarf virus	1568974	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus flavaparvi	GCA_000927635.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus flavaparvi
UP000202450	Merremia mosaic Puerto Rico virus	714309	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus merremiapuertoricoense	GCA_000892695.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus merremiapuertoricoense
UP000202464	Beihai Nido-like virus 1	1922350	2		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Nidovirales, Mesnidovirineae, Medioniviridae, Medionivirinae, Turrinivirus, Beturrivirus, Turrinivirus 1	GCA_001925455.1	9NIDO	Genome	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Medioniviridae	Turrinivirus	Turrinivirus 1
UP000202486	Cosavirus F	2003652	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Cosavirus	GCA_002117635.1	9PICO	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cosavirus	
UP000202501	Desmodium leaf distortion virus	361731	6		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus desmodistortionis	GCA_000869465.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus desmodistortionis
UP000202506	cosavirus D1	586468	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Caphthovirinae, Cosavirus, Cosavirus D	GCA_000886475.1	9PICO	Genome	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Cosavirus	Cosavirus D
UP000202512	potamipivirus A1	2870364	1		Unknown	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Paavivirinae, Potamipivirus, Potamipivirus A	GCA_000910995.1	9PICO	Segment	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Potamipivirus	Potamipivirus A
UP000202518	Sugarcane streak Egypt virus	71548	4		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Mastrevirus, Mastrevirus saccharumegyptense	GCA_000841765.1	9GEMI	Segment	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Mastrevirus	Mastrevirus saccharumegyptense
UP000202535	Sida micrantha mosaic virus	228897	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus sidamicranthae	GCA_000840905.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus sidamicranthae
UP000202539	Tomato yellow vein streak virus	55216	7		Unknown	Viruses, Monodnaviria, Shotokuvirae, Cressdnaviricota, Repensiviricetes, Geplafuvirales, Geminiviridae, Begomovirus, Begomovirus solanumflavusvenae	GCA_000874525.1	9GEMI	Genome	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Begomovirus solanumflavusvenae
